Graphemes	IPA	Strucutre	Note
p	p	i	
ts	ts	i	
t	t	i	
tɬ	tɬ	i	
ʈ	ʈ	i	
tʂ	tʂ	i	
tɕ	tɕ	i	
k	k	i	
q	q	i	
ʔ	ʔ	i	
pʰ	pʰ	i	
tsʰ	tsʰ	i	
tʰ	tʰ	i	
tɬʰ	tɬʰ	i	
ʈʰ	ʈʰ	i	
tʂʰ	ʈʂʰ	i	
tɕʰ	tɕʰ	i	
kʰ	kʰ	i	
qʰ	qʰ	i	
b	b	i	
dz	dz	i	
d	d	i	
dl	dl	i	
ɖ	ɖ	i	
dʐ	ɖʐ	i	
dʑ	dʑ	i	
g	g	i	
ɢ	ɢ	i	
bɦ	bʱ	i	
dzɦ	dzʱ	i	
dɦ	dɦ	i	
dlɦ	dlʱ	i	
ɖɦ	ɖʱ	i	
dʐɦ	dʐʱ	i	
dʑɦ	dʑʱ	i	
gɦ	gʱ	i	
ɢɦ	ɢʱ	i	
mp	ⁿp	i	
nts	ⁿts	i	
nt	ⁿt	i	
ntɬ	ⁿtɬ	i	
ɳʈ	ⁿʈ	i	
ɳtʂ	ⁿʈʂ	i	
ȵtɕ	ⁿtɕ	i	
ŋk	ⁿk	i	
ŋq	ⁿq	i	
mpʰ	ⁿpʰ	i	
ntsʰ	ⁿtsʰ	i	
ntʰ	ⁿtʰ	i	
ntɬʰ	ⁿtɬʰ	i	
ɳʈʰ	ⁿʈʰ	i	
ɳtʂʰ	ⁿtʂʰ	i	
ȵtɕʰ	ⁿtɕʰ	i	
ŋkʰ	ⁿkʰ	i	
ŋqʰ	ⁿqʰ	i	
mb	ⁿb	i	
ndz	ⁿdz	i	
nd	ⁿd	i	
ndl	ⁿdl	i	
ɳɖ	ⁿɖ	i	
ɳdʐ	ⁿɖʐ	i	
ȵdʑ	ⁿdʑ	i	
ŋg	ⁿg	i	
ŋɢ	ⁿɢ	i	
mbɦ	ⁿbʱ	i	
ndzɦ	ⁿdzʱ	i	
ndɦ	ⁿdʱ	i	
ndlɦ	ⁿdlʱ	i	
ɳɖɦ	ⁿɖʱ	i	
ɳdʐɦ	ⁿdʐʱ	i	
ȵdʑɦ	ⁿdʑʱ	i	
ŋgɦ	ⁿgʱ	i	
ŋɢɦ	ⁿɢʱ	i	
m̥	m̥	i	
n̥	n̥	i	
ȵ̥	ȵ̊	i	
ŋ̥	ŋ̥	i	
m	m	i	
n	n	i	
ɳ	ɳ	i	
ȵ	ȵ	i	
ŋ	ŋ	i	
mɦ	mʱ	i	
nɦ	nʱ	i	
ɳɦ	ɳʱ	i	
ȵɦ	ȵʱ	i	
ŋɦ	ŋʱ	i	
f	f	i	
s	s	i	
ɬ	ɬ	i	
ʂ	ʂ	i	
ɕ	ɕ	i	
x	x	i	
χ	χ	i	
h	h	i	
v	v	i	
z	z	i	
l	l	i	
ʐ	ʐ	i	
ʑ	ʑ	i	
ɣ	ɣ	i	
ɦ	ɦ	i	
vɦ	vʱ	i	
zɦ	zʱ	i	
lɦ	lʱ	i	
ʐɦ	ʐʱ	i	
ʑɦ	ʑʱ	i	
ɣ	ɣ	i	
ɣɦ	ɣʱ	i	deleted space
i	i	n	
e	e	n	deleted *
a	a	n	
o	o	n	
u	u	n	
ɯ	ɯ	n	
y	y	n	
ə	ə	n	
ɚ	ɚ/ə	n	deleted *, render retroflex as normal vowel
ie	i e	m n	
iu	i u	m n	deleted *
ei	ei	n	deleted *
ey	ey	n	
ai	ai	n	
au	au	n	
aɯ	aɯ	n	
ua	u a	m n	deleted *
ye	y e	m n	deleted *
iau	i au	m n	
iaɯ	i aɯ	m n	deleted *
uei	u ei	m n	deleted *
uai	u ai	m n	deleted *
55	⁵⁵	t	
35	³⁵	t	
13	¹³	t	
33	³³	t	
31	³¹	t	
11	¹¹	t	
53	⁵³	t	
